,gfp_rbs_foldx,codon,charging_rate,ATA_charged,ATA_uncharged,GFP,TTT_charged,TTT_uncharged,__GFP_rbs,__cellularProtein_rbs,cellularProtein,free ribosome,cellularProtein_max,cellularProtein_norm
60,1.0,0.7,100.0,0.37688888888888894,467.3333333333333,238.66666666666666,0.6228571428571429,660.0,10.0,96.33333333333333,22524.0,0.128,22564.0,0.9982272646693848
61,1.0,0.7,250.0,0.6626666666666666,253.0,339.6666666666667,0.7782857142857142,388.0,10.0,97.0,32539.666666666668,0.18933333333333335,32629.0,0.9972621492128679
62,1.0,0.7,500.0,0.7942222222222222,154.33333333333334,394.0,0.8811428571428571,208.0,9.666666666666666,97.0,37603.666666666664,0.19066666666666665,37704.666666666664,0.9973212864897361
63,1.0,0.7,1000.0,0.8813333333333333,89.0,440.0,0.9266666666666667,128.33333333333334,10.0,97.66666666666667,40635.333333333336,0.208,40722.0,0.9978717482769347
64,1.0,0.7,5000.0,0.9777777777777779,16.666666666666668,445.3333333333333,0.9838095238095238,28.333333333333332,10.0,97.33333333333333,43243.333333333336,0.202,43356.0,0.9974013592889873
65,1.0,0.9,50.0,0.21466666666666667,589.0,154.0,0.5007619047619047,873.6666666666666,10.0,98.33333333333333,14378.0,0.066,14395.333333333334,0.9987959060806743
66,1.0,0.9,100.0,0.39244444444444443,455.6666666666667,243.66666666666666,0.604,693.0,10.0,95.33333333333333,22538.0,0.10933333333333332,22567.0,0.9987149377409492
67,1.0,0.9,250.0,0.6462222222222223,265.3333333333333,329.0,0.7817142857142857,382.0,10.0,96.33333333333333,32584.666666666668,0.17133333333333334,32627.0,0.9987025061043512
68,1.0,0.9,500.0,0.804,147.0,393.6666666666667,0.872952380952381,222.33333333333334,10.0,97.0,37647.666666666664,0.19733333333333333,37692.0,0.9988237999221762
69,1.0,0.9,1000.0,0.88,90.0,429.3333333333333,0.9291428571428572,124.0,10.0,95.0,40658.333333333336,0.19266666666666665,40721.0,0.998461072501494
70,1.0,0.9,5000.0,0.9791111111111112,15.666666666666666,454.3333333333333,0.9883809523809525,20.333333333333332,10.0,98.0,43290.0,0.21933333333333335,43374.0,0.9980633559275142
71,3.0,0.3,50.0,0.2182222222222222,586.3333333333334,433.0,0.4979047619047619,878.6666666666666,10.0,96.33333333333333,14198.0,0.07866666666666668,14391.666666666666,0.9865431383902722
72,3.0,0.3,100.0,0.3857777777777778,460.6666666666667,703.0,0.6085714285714285,685.0,10.0,96.33333333333333,22276.666666666668,0.09733333333333333,22558.0,0.9875284451931319
73,3.0,0.3,250.0,0.656888888888889,257.3333333333333,965.3333333333334,0.7737142857142857,396.0,10.0,96.66666666666667,32313.333333333332,0.16266666666666665,32623.0,0.9905077195026004
74,3.0,0.3,500.0,0.7902222222222222,157.33333333333334,1153.6666666666667,0.8763809523809524,216.33333333333334,10.0,97.0,37343.666666666664,0.188,37713.0,0.9902067368458267
75,3.0,0.3,1000.0,0.8942222222222221,79.33333333333333,1262.0,0.9285714285714286,125.0,10.0,98.0,40325.333333333336,0.19333333333333333,40668.0,0.9915740467525656
76,3.0,0.3,5000.0,0.9764444444444444,17.666666666666668,1324.3333333333333,0.9855238095238096,25.333333333333332,9.666666666666666,97.66666666666667,42972.666666666664,0.216,43346.0,0.9913871329918946
77,3.0,0.5,50.0,0.21911111111111112,585.6666666666666,451.3333333333333,0.48990476190476195,892.6666666666666,9.333333333333334,97.66666666666667,14243.666666666666,0.07,14396.333333333334,0.9893954479149782
78,3.0,0.5,100.0,0.3511111111111111,486.6666666666667,731.6666666666666,0.6072380952380952,687.3333333333334,10.0,96.0,22331.333333333332,0.10066666666666667,22559.666666666668,0.9898786920610528
79,3.0,0.5,250.0,0.6426666666666667,268.0,1019.6666666666666,0.7685714285714286,405.0,10.0,95.66666666666667,32322.0,0.168,32634.333333333332,0.9904293024728559
80,3.0,0.5,500.0,0.7964444444444445,152.66666666666666,1130.3333333333333,0.8784761904761904,212.66666666666666,9.333333333333334,97.33333333333333,37392.0,0.19933333333333333,37717.0,0.9913831959063553
81,3.0,0.5,1000.0,0.9017777777777778,73.66666666666667,1228.0,0.9407619047619047,103.66666666666667,10.0,94.0,40374.333333333336,0.206,40701.666666666664,0.9919577412882357
82,3.0,0.7,50.0,0.2102222222222222,592.3333333333334,463.3333333333333,0.4967619047619048,880.6666666666666,10.0,97.66666666666667,14299.333333333334,0.082,14395.333333333334,0.9933311721391191
83,3.0,0.7,100.0,0.39644444444444443,452.6666666666667,711.0,0.6017142857142858,697.0,10.0,96.33333333333333,22397.666666666668,0.12466666666666668,22564.0,0.9926283755835255
84,3.0,0.7,250.0,0.6386666666666667,271.0,1003.6666666666666,0.7801904761904761,384.6666666666667,9.333333333333334,95.33333333333333,32398.333333333332,0.176,32629.0,0.9929306240869574
85,3.0,0.7,500.0,0.7871111111111112,159.66666666666666,1169.6666666666667,0.8653333333333333,235.66666666666666,10.0,96.66666666666667,37439.666666666664,0.17,37704.666666666664,0.99297169227505
86,3.0,0.7,1000.0,0.8973333333333333,77.0,1279.6666666666667,0.9300952380952381,122.33333333333333,10.0,98.0,40403.333333333336,0.18533333333333335,40722.0,0.9921745821259598
87,3.0,0.7,5000.0,0.9777777777777779,16.666666666666668,1309.6666666666667,0.9855238095238096,25.333333333333332,10.0,98.0,43081.666666666664,0.2,43356.0,0.9936725405172678
88,3.0,0.9,50.0,0.20755555555555555,594.3333333333334,446.3333333333333,0.49542857142857144,883.0,10.0,94.0,14352.333333333334,0.07266666666666667,14395.333333333334,0.9970129208539804
89,3.0,0.9,100.0,0.396,453.0,696.3333333333334,0.5984761904761904,702.6666666666666,10.0,98.66666666666667,22472.333333333332,0.124,22567.0,0.99580508411988
90,3.0,0.9,250.0,0.6351111111111111,273.6666666666667,997.0,0.7742857142857142,395.0,10.0,94.66666666666667,32476.666666666668,0.15533333333333335,32627.0,0.9953923641973417
91,3.0,0.9,500.0,0.7964444444444445,152.66666666666666,1150.6666666666667,0.864952380952381,236.33333333333334,10.0,96.33333333333333,37530.333333333336,0.18866666666666665,37692.0,0.9957108493402668
92,3.0,0.9,1000.0,0.8968888888888888,77.33333333333333,1229.3333333333333,0.9316190476190476,119.66666666666667,10.0,96.0,40493.333333333336,0.20533333333333334,40721.0,0.9944091091410657
93,3.0,0.9,5000.0,0.9773333333333334,17.0,1335.6666666666667,0.9857142857142858,25.0,9.666666666666666,97.33333333333333,43119.333333333336,0.22133333333333335,43374.0,0.9941285870183367
94,10.0,0.3,50.0,0.21955555555555553,585.3333333333334,1429.3333333333333,0.5043809523809524,867.3333333333334,9.666666666666666,94.66666666666667,13733.333333333334,0.07,14391.666666666666,0.9542559351476549
95,10.0,0.3,100.0,0.392,456.0,2176.3333333333335,0.6220952380952381,661.3333333333334,10.0,97.0,21663.666666666668,0.11133333333333333,22558.0,0.9603540502999676
96,10.0,0.3,250.0,0.6444444444444444,266.6666666666667,3175.3333333333335,0.7643809523809524,412.3333333333333,10.0,95.33333333333333,31503.333333333332,0.12533333333333332,32623.0,0.9656786112047737
97,10.0,0.3,500.0,0.7928888888888889,155.33333333333334,3655.6666666666665,0.8664761904761904,233.66666666666666,9.666666666666666,96.33333333333333,36524.666666666664,0.19266666666666665,37713.0,0.9684900874145962
98,10.0,0.3,1000.0,0.8808888888888888,89.33333333333333,3912.3333333333335,0.9337142857142857,116.0,9.666666666666666,97.33333333333333,39514.666666666664,0.196,40668.0,0.971640274089374
99,10.0,0.3,5000.0,0.9764444444444444,17.666666666666668,4248.666666666667,0.987047619047619,22.666666666666668,10.0,96.66666666666667,42108.333333333336,0.196,43346.0,0.9714468078561652
100,10.0,0.5,50.0,0.22,585.0,1445.6666666666667,0.504,868.0,9.666666666666666,98.0,13908.333333333334,0.06866666666666667,14396.333333333334,0.9661024797980967
101,10.0,0.5,100.0,0.37911111111111107,465.6666666666667,2199.3333333333335,0.6072380952380952,687.3333333333334,9.666666666666666,97.66666666666667,21860.0,0.11533333333333333,22559.666666666668,0.9689859483739417
102,10.0,0.5,250.0,0.6466666666666666,265.0,3180.6666666666665,0.775047619047619,393.6666666666667,10.0,97.66666666666667,31699.666666666668,0.17,32634.333333333332,0.9713594067597521
103,10.0,0.5,500.0,0.8053333333333333,146.0,3680.6666666666665,0.8803809523809524,209.33333333333334,10.0,99.33333333333333,36702.666666666664,0.2,37717.0,0.9731067334800398
104,10.0,0.5,1000.0,0.8902222222222221,82.33333333333333,3983.3333333333335,0.9238095238095239,133.33333333333334,9.666666666666666,98.33333333333333,39657.0,0.206,40701.666666666664,0.9743335653740633
