,species,protein,codon_comp,tRNA_prop,tRNA_charging_rate
406,ATA_charged,99.0,64,1,10.0
407,ATA_uncharged,0.0,64,1,10.0
408,TTT_charged,0.0,64,1,10.0
409,TTT_uncharged,1.0,64,1,10.0
410,__proteinX_rbs,100.0,64,1,10.0
411,__ribosome,0.0,64,1,10.0
412,proteinX,0.0,64,1,10.0
413,ATA_charged,98.0,65,1,10.0
414,ATA_uncharged,1.0,65,1,10.0
415,TTT_charged,0.0,65,1,10.0
416,TTT_uncharged,1.0,65,1,10.0
417,__proteinX_rbs,100.0,65,1,10.0
418,__ribosome,0.0,65,1,10.0
419,proteinX,0.0,65,1,10.0
420,ATA_charged,98.0,66,1,10.0
421,ATA_uncharged,1.0,66,1,10.0
422,TTT_charged,0.0,66,1,10.0
423,TTT_uncharged,1.0,66,1,10.0
424,__proteinX_rbs,100.0,66,1,10.0
425,__ribosome,0.0,66,1,10.0
426,proteinX,0.0,66,1,10.0
427,ATA_charged,99.0,67,1,10.0
428,ATA_uncharged,0.0,67,1,10.0
429,TTT_charged,0.0,67,1,10.0
430,TTT_uncharged,1.0,67,1,10.0
431,__proteinX_rbs,100.0,67,1,10.0
432,__ribosome,0.0,67,1,10.0
433,proteinX,0.0,67,1,10.0
434,ATA_charged,99.0,68,1,10.0
435,ATA_uncharged,0.0,68,1,10.0
436,TTT_charged,1.0,68,1,10.0
437,TTT_uncharged,0.0,68,1,10.0
438,__proteinX_rbs,100.0,68,1,10.0
439,__ribosome,0.0,68,1,10.0
440,proteinX,0.0,68,1,10.0
441,ATA_charged,99.0,69,1,10.0
442,ATA_uncharged,0.0,69,1,10.0
443,TTT_charged,1.0,69,1,10.0
444,TTT_uncharged,0.0,69,1,10.0
445,__proteinX_rbs,100.0,69,1,10.0
446,__ribosome,0.0,69,1,10.0
447,proteinX,0.0,69,1,10.0
448,ATA_charged,99.0,70,1,10.0
449,ATA_uncharged,0.0,70,1,10.0
450,TTT_charged,0.0,70,1,10.0
451,TTT_uncharged,1.0,70,1,10.0
452,__proteinX_rbs,100.0,70,1,10.0
453,__ribosome,0.0,70,1,10.0
454,proteinX,0.0,70,1,10.0
455,ATA_charged,99.0,72,1,10.0
456,ATA_uncharged,0.0,72,1,10.0
457,TTT_charged,0.0,72,1,10.0
458,TTT_uncharged,1.0,72,1,10.0
459,__proteinX_rbs,100.0,72,1,10.0
460,__ribosome,0.0,72,1,10.0
461,proteinX,0.0,72,1,10.0
462,ATA_charged,98.0,73,1,10.0
463,ATA_uncharged,1.0,73,1,10.0
464,TTT_charged,0.0,73,1,10.0
465,TTT_uncharged,1.0,73,1,10.0
466,__proteinX_rbs,100.0,73,1,10.0
467,__ribosome,0.0,73,1,10.0
468,proteinX,0.0,73,1,10.0
469,ATA_charged,99.0,74,1,10.0
470,ATA_uncharged,0.0,74,1,10.0
471,TTT_charged,0.0,74,1,10.0
472,TTT_uncharged,1.0,74,1,10.0
473,__proteinX_rbs,100.0,74,1,10.0
474,__ribosome,0.0,74,1,10.0
475,proteinX,0.0,74,1,10.0
476,ATA_charged,99.0,75,1,10.0
477,ATA_uncharged,0.0,75,1,10.0
478,TTT_charged,1.0,75,1,10.0
479,TTT_uncharged,0.0,75,1,10.0
480,__proteinX_rbs,100.0,75,1,10.0
481,__ribosome,0.0,75,1,10.0
482,proteinX,0.0,75,1,10.0
483,ATA_charged,99.0,76,1,10.0
484,ATA_uncharged,0.0,76,1,10.0
485,TTT_charged,0.0,76,1,10.0
486,TTT_uncharged,1.0,76,1,10.0
487,__proteinX_rbs,100.0,76,1,10.0
488,__ribosome,0.0,76,1,10.0
489,proteinX,0.0,76,1,10.0
490,ATA_charged,98.0,77,1,10.0
491,ATA_uncharged,1.0,77,1,10.0
492,TTT_charged,0.0,77,1,10.0
493,TTT_uncharged,1.0,77,1,10.0
494,__proteinX_rbs,100.0,77,1,10.0
495,__ribosome,0.0,77,1,10.0
496,proteinX,0.0,77,1,10.0
497,ATA_charged,99.0,78,1,10.0
498,ATA_uncharged,0.0,78,1,10.0
499,TTT_charged,1.0,78,1,10.0
500,TTT_uncharged,0.0,78,1,10.0
501,__proteinX_rbs,100.0,78,1,10.0
502,__ribosome,0.0,78,1,10.0
503,proteinX,0.0,78,1,10.0
504,ATA_charged,97.0,79,1,10.0
505,ATA_uncharged,2.0,79,1,10.0
506,TTT_charged,1.0,79,1,10.0
507,TTT_uncharged,0.0,79,1,10.0
508,__proteinX_rbs,43.0,79,1,10.0
509,__ribosome,0.0,79,1,10.0
510,proteinX,0.0,79,1,10.0
511,ATA_charged,97.0,80,1,10.0
512,ATA_uncharged,2.0,80,1,10.0
513,TTT_charged,0.0,80,1,10.0
514,TTT_uncharged,1.0,80,1,10.0
515,__proteinX_rbs,100.0,80,1,10.0
516,__ribosome,0.0,80,1,10.0
517,proteinX,0.0,80,1,10.0
518,ATA_charged,99.0,81,1,10.0
519,ATA_uncharged,0.0,81,1,10.0
520,TTT_charged,0.0,81,1,10.0
521,TTT_uncharged,1.0,81,1,10.0
522,__proteinX_rbs,100.0,81,1,10.0
523,__ribosome,0.0,81,1,10.0
524,proteinX,0.0,81,1,10.0
525,ATA_charged,98.0,82,1,10.0
526,ATA_uncharged,1.0,82,1,10.0
527,TTT_charged,1.0,82,1,10.0
528,TTT_uncharged,0.0,82,1,10.0
529,__proteinX_rbs,100.0,82,1,10.0
530,__ribosome,0.0,82,1,10.0
531,proteinX,0.0,82,1,10.0
532,ATA_charged,99.0,83,1,10.0
533,ATA_uncharged,0.0,83,1,10.0
534,TTT_charged,0.0,83,1,10.0
535,TTT_uncharged,1.0,83,1,10.0
536,__proteinX_rbs,100.0,83,1,10.0
537,__ribosome,0.0,83,1,10.0
538,proteinX,0.0,83,1,10.0
539,ATA_charged,99.0,84,1,10.0
540,ATA_uncharged,0.0,84,1,10.0
541,TTT_charged,1.0,84,1,10.0
542,TTT_uncharged,0.0,84,1,10.0
543,__proteinX_rbs,100.0,84,1,10.0
544,__ribosome,0.0,84,1,10.0
545,proteinX,0.0,84,1,10.0
546,ATA_charged,99.0,85,1,10.0
547,ATA_uncharged,0.0,85,1,10.0
548,TTT_charged,1.0,85,1,10.0
549,TTT_uncharged,0.0,85,1,10.0
550,__proteinX_rbs,100.0,85,1,10.0
551,__ribosome,0.0,85,1,10.0
552,proteinX,0.0,85,1,10.0
553,ATA_charged,99.0,86,1,10.0
554,ATA_uncharged,0.0,86,1,10.0
555,TTT_charged,0.0,86,1,10.0
556,TTT_uncharged,1.0,86,1,10.0
557,__proteinX_rbs,100.0,86,1,10.0
558,__ribosome,0.0,86,1,10.0
559,proteinX,0.0,86,1,10.0
560,ATA_charged,99.0,87,1,10.0
561,ATA_uncharged,0.0,87,1,10.0
562,TTT_charged,0.0,87,1,10.0
563,TTT_uncharged,1.0,87,1,10.0
564,__proteinX_rbs,100.0,87,1,10.0
565,__ribosome,0.0,87,1,10.0
566,proteinX,0.0,87,1,10.0
567,ATA_charged,99.0,88,1,10.0
568,ATA_uncharged,0.0,88,1,10.0
569,TTT_charged,0.0,88,1,10.0
570,TTT_uncharged,1.0,88,1,10.0
571,__proteinX_rbs,100.0,88,1,10.0
572,__ribosome,0.0,88,1,10.0
573,proteinX,0.0,88,1,10.0
574,ATA_charged,98.0,89,1,10.0
575,ATA_uncharged,1.0,89,1,10.0
576,TTT_charged,0.0,89,1,10.0
577,TTT_uncharged,1.0,89,1,10.0
578,__proteinX_rbs,100.0,89,1,10.0
579,__ribosome,0.0,89,1,10.0
580,proteinX,0.0,89,1,10.0
581,ATA_charged,99.0,90,1,10.0
582,ATA_uncharged,0.0,90,1,10.0
583,TTT_charged,0.0,90,1,10.0
584,TTT_uncharged,1.0,90,1,10.0
585,__proteinX_rbs,97.0,90,1,10.0
586,__ribosome,0.0,90,1,10.0
587,proteinX,0.0,90,1,10.0
588,ATA_charged,98.0,91,1,10.0
589,ATA_uncharged,1.0,91,1,10.0
590,TTT_charged,1.0,91,1,10.0
591,TTT_uncharged,0.0,91,1,10.0
592,__proteinX_rbs,100.0,91,1,10.0
593,__ribosome,0.0,91,1,10.0
594,proteinX,0.0,91,1,10.0
595,ATA_charged,99.0,92,1,10.0
596,ATA_uncharged,0.0,92,1,10.0
597,TTT_charged,1.0,92,1,10.0
598,TTT_uncharged,0.0,92,1,10.0
599,__proteinX_rbs,100.0,92,1,10.0
600,__ribosome,0.0,92,1,10.0
601,proteinX,0.0,92,1,10.0
602,ATA_charged,99.0,93,1,10.0
603,ATA_uncharged,0.0,93,1,10.0
604,TTT_charged,1.0,93,1,10.0
605,TTT_uncharged,0.0,93,1,10.0
606,__proteinX_rbs,100.0,93,1,10.0
607,__ribosome,0.0,93,1,10.0
608,proteinX,0.0,93,1,10.0
609,ATA_charged,99.0,94,1,10.0
610,ATA_uncharged,0.0,94,1,10.0
611,TTT_charged,1.0,94,1,10.0
612,TTT_uncharged,0.0,94,1,10.0
613,__proteinX_rbs,100.0,94,1,10.0
614,__ribosome,0.0,94,1,10.0
615,proteinX,0.0,94,1,10.0
616,ATA_charged,99.0,95,1,10.0
617,ATA_uncharged,0.0,95,1,10.0
618,TTT_charged,1.0,95,1,10.0
619,TTT_uncharged,0.0,95,1,10.0
620,__proteinX_rbs,100.0,95,1,10.0
621,__ribosome,0.0,95,1,10.0
622,proteinX,0.0,95,1,10.0
623,ATA_charged,99.0,96,1,10.0
624,ATA_uncharged,0.0,96,1,10.0
625,TTT_charged,1.0,96,1,10.0
626,TTT_uncharged,0.0,96,1,10.0
627,__proteinX_rbs,100.0,96,1,10.0
628,__ribosome,0.0,96,1,10.0
629,proteinX,0.0,96,1,10.0
630,ATA_charged,99.0,97,1,10.0
631,ATA_uncharged,0.0,97,1,10.0
632,TTT_charged,1.0,97,1,10.0
633,TTT_uncharged,0.0,97,1,10.0
