Application: Tecan i-control,,,,"Tecan i-control , 1.11.1.0",,,,
Device: infinite 200Pro,,,,Serial number: 1602000080,,,,Serial number of connected stacker:
Firmware: V_3.40_01/15_Infinite (Dec 23 2014/12.45.11),,,,"MAI, V_3.40_01/15_Infinite (Dec 23 2014/12.45.11)",,,,
,,,,,,,,
Date:,12/27/2023,,,,,,,
Time:,1:41:30 PM,,,,,,,
,,,,,,,,
,,,,,,,,
System,,,,DESKTOP-R891HJ3,,,,
User,,,,DESKTOP-R891HJ3\Barrick Lab,,,,
Plate,,,,Greiner 96 Flat Bottom Transparent Polystyrene Cat. No.: 655101/655161/655192 [GRE96ft.pdfx],,,,
Plate-ID (Stacker),,,,,,,,
,,,,,,,,
Wait (Plate),,,,On,Target Temperature: 37 °C,,,
,,,,,,,,
Wait (Plate Temperature),,,,Valid Range: 36.5 - 37.5 °C,,,,
,,,,,,,,
List of actions in this measurement script:,,,,,,,,
F8,0.0885000005364418,0.0855000019073486,0.0839999988675118,0.0842000022530556,0.0842000022530556,0.0839999988675118,0.0834000036120415,0.0839999988675118
F9,0.0876000002026558,0.0860000029206276,0.0850000008940697,0.0850000008940697,0.0846000015735626,0.0843999981880188,0.0844999998807907,0.0844999998807907
F10,0.0813999995589256,0.0807000026106834,0.0806000009179115,0.0803999975323677,0.0855000019073486,0.0842000022530556,0.0841000005602837,0.0835999995470047
F11,0.0810000002384186,0.0807999968528748,0.0808999985456467,0.0807999968528748,0.0808999985456467,0.0807000026106834,0.0806000009179115,0.0817999988794327
G2,0.0807000026106834,0.0806000009179115,0.0807999968528748,0.0807999968528748,0.0807000026106834,0.0807000026106834,0.0807000026106834,0.0806000009179115
G3,0.0788000002503395,0.0789000019431114,0.0790000036358833,0.0790000036358833,0.0790999978780747,0.0790999978780747,0.0791999995708466,0.0790999978780747
G4,0.0807000026106834,0.0807999968528748,0.0808999985456467,0.0811000019311905,0.0811000019311905,0.0811000019311905,0.0812000036239624,0.0812000036239624
G5,0.0856000036001205,0.0843999981880188,0.0837000012397766,0.0832000002264977,0.0834000036120415,0.0833000019192696,0.0833000019192696,0.0832000002264977
G6,0.0856999978423119,0.0854000002145767,0.0851000025868416,0.0850000008940697,0.0848999992012978,0.0847999975085259,0.0844999998807907,0.0844999998807907
G7,0.0790000036358833,0.0790999978780747,0.0793000012636185,0.0794000029563904,0.0797000005841255,0.0799999982118607,0.0802000015974045,0.0795999988913536
G8,0.0863000005483627,0.0846000015735626,0.0838000029325485,0.0832000002264977,0.0829999968409538,0.0829000025987625,0.0826999992132187,0.0825999975204468
G9,0.0802000015974045,0.0798999965190888,0.0832000002264977,0.0830999985337257,0.0830999985337257,0.0832000002264977,0.0829000025987625,0.0826999992132187
G10,0.0825999975204468,0.0819000005722046,0.0816000029444695,0.0813999995589256,0.0856000036001205,0.0847000032663345,0.0852999985218048,0.0851999968290329
G11,0.0820000022649765,0.0819000005722046,0.0817999988794327,0.0816999971866608,0.0816999971866608,0.0816999971866608,0.0864000022411346,0.0869999974966049
,,,,,,,,
,,,,,,,,
End Time:,12/27/2023 3:47:57 PM,,,,,,,
