"","strain","rbs","time","GFP_high","GFP_low","OD600","fluor_norm","lnOD600","experiment","groupID","expression","growthrate","mCherry_high","mCherry_low"
"1935","GFP50","RBS1",20700,54907.1666666667,331.583333333333,0.632033338149389,86873.8456541492,-0.45881313599015,2,"2 GFP50 RBS1",-15896.6944481652,0.170064206899426,NA,NA
"1936","GFP50","RBS1",21600,54499.5833333333,328.583333333333,0.657458337023854,82894.3527890132,-0.419373882681098,2,"2 GFP50 RBS1",-15917.9714605437,0.157757013236206,NA,NA
"1937","GFP50","RBS1",22500,54106,325.5,0.699800013874968,77316.3745745038,-0.356960679221502,2,"2 GFP50 RBS1",-22311.9128580376,0.249652813838386,NA,NA
"1938","GFP50","RBS1",23400,53786.25,325.333333333333,0.715308318535487,75193.1001027938,-0.335041614499538,2,"2 GFP50 RBS1",-8493.09788684,0.0876762588878572,NA,NA
"1939","GFP50","RBS1",24300,53782,324.833333333333,0.740875011309981,72592.5414934769,-0.299923343608427,2,"2 GFP50 RBS1",-10402.2344372676,0.140473083564443,NA,NA
"1940","GFP50","RBS1",25200,53443,321.5,0.761233338465293,70205.8058935586,-0.272815347271062,2,"2 GFP50 RBS1",-9546.94239967316,0.10843198534946,NA,NA
"1941","GFP50","RBS1",26100,53164.0833333333,318.333333333333,0.781316663449009,68044.2205067638,-0.246774752357124,2,"2 GFP50 RBS1",-8646.34154717939,0.104162379655751,NA,NA
"1942","GFP50","RBS1",27000,53013,319.666666666667,0.803650007893642,65965.2827465858,-0.218591418144749,2,"2 GFP50 RBS1",-8315.75104071188,0.112733336849502,NA,NA
"1943","GFP50","RBS1",27900,52745.6666666667,318.916666666667,0.820083348080516,64317.4462572896,-0.198349299888611,2,"2 GFP50 RBS1",-6591.34595718503,0.0809684730245527,NA,NA
"1944","GFP50","RBS1",28800,52831.25,318.166666666667,0.834491673236092,63309.4992968889,-0.180932514077313,2,"2 GFP50 RBS1",-4031.78784160267,0.0696671432451913,NA,NA
"1945","GFP50","RBS1",29700,53062,316.916666666667,0.841124999026457,63084.5594429074,-0.173014998631084,2,"2 GFP50 RBS1",-899.759415925888,0.0316700617849146,NA,NA
"1946","GFP50","RBS1",30600,52752.9166666667,318.166666666667,0.84800830980142,62208.0185499833,-0.16486484394412,2,"2 GFP50 RBS1",-3506.16357169664,0.032600618747857,NA,NA
"1947","GFP50","RBS1",31500,52537.1666666667,317.583333333333,0.860341671233376,61065.4678522662,-0.150425676502373,2,"2 GFP50 RBS1",-4570.20279086835,0.0577566697669857,NA,NA
"1948","GFP50","RBS1",32400,52458.25,315.166666666667,0.869083307683468,60360.4390237651,-0.140316292162626,2,"2 GFP50 RBS1",-2820.11531400448,0.0404375373589908,NA,NA
"1949","GFP50","RBS1",33300,52068.5833333333,315,0.877541666229566,59334.5995262544,-0.130630841886696,2,"2 GFP50 RBS1",-4103.35799004245,0.0387418011037177,NA,NA
"1950","GFP50","RBS1",34200,52326.5833333333,313.583333333333,0.883983321487904,59194.0843920655,-0.123317083617611,2,"2 GFP50 RBS1",-562.060536755744,0.0292550330763405,NA,NA
"1951","GFP50","RBS1",35100,51883.8333333333,312.25,0.890383338555694,58271.3434614522,-0.116103191509791,2,"2 GFP50 RBS1",-3690.96372245304,0.0288555684312826,NA,NA
"1952","GFP50","RBS1",36000,51966.0833333333,311.416666666667,0.897625018532077,57892.8642366894,-0.108002871905977,2,"2 GFP50 RBS1",-1513.91689905149,0.0324012784152546,NA,NA
"1953","GFP50","RBS1",36900,51816.75,311.75,0.900516641015808,57541.1354325993,-0.104786634785839,2,"2 GFP50 RBS1",-1406.91521636027,0.0128649484805516,NA,NA
